,Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products,Clean Brand
0,Ace Beauté,Niye Aniekan-Attang,True,True,2015,,11,False
1,ACURE,Jon and Kristy Guerra,True,False,2010,"Skin Care ,Hair ,Bath & Body",46,True
2,AG Hair,John and Lotte Davis,True,False,1989,"Hair ,Bath & Body",48,False
3,Ahava	,Ziva Gilad,True,False,1988,"Bath & Body ,Men ,Gifts ,Skin Care",55,False
4,Alleyoop,Leila Kashani Manshoory,True,False,2015,"Skin Care ,Bath & Body",4,False
5,AllSaints,Kait Bolongaro and Stuart Trevor,True,False,1994,,3,False
6,Almay,Alfred Woititz,False,False,1931,"Makeup ,Skin Care ",13,False
7,Alpha Skin Care,Michelle Doherty,True,False,1995,"Skin Care ,Bath & Body",8,False
8,Alterna,Daniel Buchbinder,False,False,1997,"Hair ,Gifts",66,False
9,American Crew,David Raccuglia,False,False,1994,"Men ,Hair ,Bath & Body ,Skin Care ,Gifts",37,False
10,Anastasia Beverly Hills,Anastasia Soare,True,False,1997,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",66,False
11,Andalou Naturals,Stacey Kelly Egide and Mark Egide,True,False,2010,"Skin Care ,Gifts ,Bath & Body",33,False
12,Aquage,Dennis Lubin and Luis Alvarez,False,False,1998,"Styling Products ,Shampoo & Conditioner ,Travel Size ,Treatment",37,False
13,Aquaphor,Herman A. Metz,False,False,1925,"Skin Care ,Bath & Body ,Men",4,False
14,Aquis,Britta Cox,True,False,1990,,5,False
15,ARCONA,Chanel Jenae,True,False,1989,"Skin Care ,Gifts",17,False
16,Arctic Fox,Kristen Leanne and Ryan Morgan,True,False,2014,"Hair ,Skin Care ,Fragrance ,Bath & Body",10,False
17,Ardell,Arnold and Sydell Miller,True,False,1971,"Makeup ,Tools & Brushes, Nails",115,False
18,Ariana Grande,Ariana Grande,True,False,2015,"Fragrance ,Gifts",15,False
19,ARMANI,Giorgio Armani and Sergio Galeotti,False,False,1975,"Fragrance ,Men ,Gifts ",32,False
20,ArtNaturals LUXE,Joseph Nourollah,False,False,2014,"Skin Care ,Bath & Body",21,False
21,Au Naturale,Ashley Prange,True,False,2011,"Makeup ,Gifts",11,True
22,Australian Glow,Liz Agresta,True,False,2019,,7,False
23,Australian Gold,Trevor Gray,False,False,1985,"Skin Care ,Bath & Body",3,True
24,Aveeno,Albert Musher and Sidney Musher,True,False,1945,"Skin Care ,Bath & Body ,Men ,Makeup",24,False
25,Avène,Pierre Fabre,False,False,1962,"Skin Care ,Bath & Body ,Makeup ,Gifts",40,False
26,Awake Beauty,Maureen Kelly,True,False,2018,"Moisturizers ,Treatment & Serums ,Travel Size ,Cleansers ,Eye Treatments",9,False
27,AXIOLOGY,Ericka Rodriguez,True,True,2013,"Makeup ,Gifts",8,True
28,Azzaro,Loris Azzaro,False,False,1967,"Fragrance ,Men",9,False
29,B.Bungalow by Beachwaver Co.,Sarah Potempa,True,False,2010,,2,False
30,b.tan,Melissa Keclik,True,False,1986,"Skin Care ,Bath & Body",12,False
31,Babo Botanicals,Kate Solomon,True,False,2008,"Bath & Body ,Hair ,Skin Care ,Makeup",24,False
32,Baby Foot,James Morris,False,False,1997,"Gifts ,Men",3,False
33,BaBylissPRO,René Lelièvre,False,False,1961,"Hair ,Tools & Brushes ,Gifts",32,False
34,BAD HABIT,Emma Chamberlain,True,False,2020,"Skin Care ,Gifts",18,True
35,Bali Body,Dave and Laura Oosterloo,True,False,2014,,8,False
36,Banila Co,F&F,False,True,2005,"Skin Care ,Makeup ,Gifts ,Men",26,False
37,Barefoot Scientist,Dana Ward,True,False,2019,"Bath & Body ,Nails ,Gifts",10,False
38,bareMinerals,Diane Richardson,True,False,1976,"Makeup, Skin Care, Gifts, Tools & Brushes",91,False
39,basd,Ashley Meston,True,False,2017,"Bath & Body ,Men ,Gifts",8,True
40,Batiste,John Dwight,False,False,1975,"Hair ,Gifts",28,False
41,BAUBLEBAR,Amy Jain and Daniella Yacobovsky,True,True,2010,"Tools & Brushes ,Hair",29,False
42,Baxter of California,Baxter Finley,False,False,1965,"Men ,Hair ,Skin Care ,Bath & Body ,Fragrance",10,False
43,Beachwaver Co.,"Sarah Potempa, Erin Potempa-Wall, and Emily Potempa",True,False,2010,"Hair ,Tools & Brushes ,Gifts",11,False
44,Beast,John Cascarano,False,False,2013,"Men ,Bath & Body ,Skin Care ,Hair ,Gifts ,Fragrance",20,False
45,Beauty Bakerie,Cashmere Nicole,True,True,2011,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",30,False
46,Beauty Finds by ULTA Beauty,Jamie O'Banion,True,False,2011,"Gifts ,Hair ,Fragrance",2,False
47,BeautyBio,Rea Ann Silva,True,False,2003,"Skin Care ,Tools & Brushes ,Hair ,Gifts ,Bath & Body",27,False
48,beautyblender,Nonie Crème,True,False,2016,"Makeup ,Tools & Brushes ,Gifts",19,False
49,BeautyGARDE,Ron Robinson,False,True,2019,"Eyelashes ,Lash Primer & Serums ,Eye Makeup Remover",6,False
50,BeautyStat Cosmetics,Anthony Mascolo,False,False,1996,"Skin Care ,Gifts",7,False
51,Bed Head,Josh Kilmer-Purcell and Brent Ridge,False,False,2008,"Hair ,Tools & Brushes ,Gifts",65,False
52,Beekman 1802,LG,False,False,2012,"Skin Care ,Bath & Body ,Makeup ,Tools & Brushes ,Nails ,Hair ,Gifts",35,True
53,belif,Elliott Evalle,False,False,2021,"Skin Care ,Gifts ,Bath & Body",14,False
54,Belli,Remo Belli,False,False,2020,"Skin Care ,Bath & Body ,Gifts",8,False
55,Benefit Cosmetics,Jean and Jane Ford,True,False,1976,"
Makeup, Gifts, Skin Care, Tools & Brushes",68,False
56,Better Not Younger,Sonsoles Gonzalez,True,False,2019,"Hair ,Skin Care ,Makeup ,Gifts ,Bath & Body ,Tools & Brushes",20,True
57,BH Cosmetics,Kirill Trachtenberg,False,False,2009,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",43,True
58,Bic,Marcel Bich,False,False,1945,"Bath & Body ,Men ,Tools & Brushes ,Makeup",9,False
59,Bikini Zone,Melissa Gorga,True,False,1996,,3,False
60,Billie Eilish,Billie Eilish,True,False,2022,"Fragrance ,Gifts",4,False
61,Billy Jealousy,Pat Parsi,False,False,2004,"Men ,Gifts ,Hair ,Bath & Body ,Skin Care ,Fragrance",32,True
62,Bio Ionic,Fernando Romero,False,False,1997,"Tools & Brushes ,Hair ,Gifts",8,False
63,Bio-Oil,Dieter Beier,False,False,1987,"Bath & Body ,Skin Care",3,False
64,Biobelle,Forty Amsel,True,False,2015,,3,False
65,bioClarity,David Hale and Cam Garner,True,False,2016,"Skin Care ,Makeup ,Gifts ,Bath & Body",10,False
66,Biolage,Arnie Miller,False,False,1980,"Hair ,Gifts",59,False
67,Bioré,Tomiro Nagase,False,True,1997,"Treatment & Serums ,Cleansers",7,False
68,Biosilk,Farouk Shami,False,True,1986,"Treatment ,Styling Products ,Shampoo & Conditioner ,Travel Size",12,False
69,Black Girl Sunscreen,Shontay Lundy,True,True,2016,,2,False
70,Blind Barber,Jeff Laub,False,False,2010,"Men ,Hair",17,False
71,BLINKING BEAUTÉ,Megan Naik,True,False,2000,,7,False
72,Bliss,Marcia Kilgore,True,False,1996,"Skin Care ,Bath & Body ,Makeup ,Gifts",31,True
73,BLK/OPL,Desiree Rogers and Cheryl Mayberry McKissack,True,True,1994,"Makeup ,Skin Care ,Gifts ,Bath & Body",18,False
74,BLONDME,Tiffany Ward,True,False,2021,"
Shampoo & Conditioner, Treatment, Styling Products",19,False
75,BLUME,Taran Ghatrora and Bunnt Ghatrora,True,False,2016,"Skin Care ,Bath & Body",11,False
76,BOBBI BROWN,Bobbi Brown,True,False,1991,"Makeup ,Skin Care ,Gifts ,Tools & Brushes",33,False
77,Bondi Boost,Phoebe Simmonds,True,False,2018,"Hair ,Skin Care ,Gifts ,Bath & Body",19,True
78,Bondi Sands,Shaun Wilson and Blair James,False,False,2012,"Skin Care ,Bath & Body",19,False
79,boscia,Gen Inomata and Lan Belinky,True,False,2002,"Skin Care, Tools & Brushes, Makeup, Bath & Body, Men",35,False
80,BosleyMD,L. Lee Bosley,True,False,1974,"Hair ,Skin Care ,Bath & Body ,Men",22,False
81,Braun,Max Braun,False,False,1921,,2,False
82,Bravo Sierra,Justin Guilbert and Benjamin Bernet,False,False,2018,"Bath & Body ,Men ,Hair ,Skin Care",16,False
83,Briogeo,Nancy Twine,True,True,2013,"Hair ,Gifts ,Tools & Brushes ,Bath & Body",65,True
84,Bumble and bumble,Michael Gordon,False,False,1977,"Hair ,Gifts",105,False
85,Burberry,Thomas Burberry,False,False,1856,"Fragrance ,Men ,Gifts",17,False
86,Burt's Bees,Burt Shavitz and Roxanne Quimby,True,False,1984,"Skin Care, Makeup, Gifts, Bath & Body",66,False
87,Buttah Skin,Dorion Renaud,False,True,2018,"Skin Care ,Bath & Body ,Gifts ,Tools & Brushes",17,False
88,Buxom,Jill Scalamandre,True,False,2007,"
Makeup, Gifts, Skin Care",28,False
89,Cake,Stefan Ytterborn,False,False,2013,"Shampoo & Conditioner , Styling Products , Treatment",15,False
90,Calvin Klein,Calvin Klein,False,False,1978,"Fragrance ,Men",9,False
91,CAMILLE ROSE,Janell Stephens,True,True,2011,"Hair ,Gifts",20,False
92,CANNUKA,Michael Bumgarner,False,False,2018,"Skin Care ,Bath & Body ,Gifts",7,False
93,Capelli New York,George Altirs,False,False,2011,,2,False
94,Capri Blue,Castanea Partners,False,False,2012,,1,False
95,Captain Blankenship,Jana Blankenship,True,False,2009,"Hair ,Gifts",9,True
96,Carbon Theory.,Philip Taylor,False,False,2018,"Skin Care ,Bath & Body",9,False
97,Carol's Daughter,Lisa Price,True,True,1993,"Shampoo & Conditioner ,Treatment ,Styling Products",19,False
98,Carolina Herrera,Antonio Puig,False,False,1980,"Fragrance ,Gifts ,Men",17,False
99,CeraVe, Tom Allison,False,False,2005,"Skin Care ,Men ,Bath & Body ,Makeup ,Gifts",43,False
100,CHANEL,Alain and Gerard Wertheimer,False,False,1921,"
Makeup, Fragrance, Gifts, Men, Skin Care, Nails",101,False
101,ChapStick,Dr. Charles Browne Fleet,False,False,1890,Makeup,7,False
102,Chi,Farouk Shami,False,True,1986,"Hair ,Tools & Brushes ,Gifts",73,False
103,China Glaze,Humberto Leon,False,True,1973,,1,False
104,Chloé,Gaby Aghion,True,False,1988,"Perfume ,Rollerballs & Purse Sprays",8,False
105,Clairol,Lawrence M. Gelb,False,False,1931,"Root Touch Up ,Hair Color & Bleach",8,False
106,Clarins,Jacques Courtin,False,False,1954,"
Skin Care, Makeup, Bath & Body, Gifts",64,False
107,Clean,Geoff S. and Deverey Kirk,True,False,1980,"Perfume ,Rollerballs & Purse Sprays",6,True
108,Clinique,Evelyn Lauder,True,False,1968,"Skin Care, Makeup, Gifts, Men, Bath & Body, Fragrance, Tools & Brushes, Nails",268,False
109,CND,Stuart Nordstrom and Jan Arnold,True,False,1979,"Nail Care ,Top & Base Coats",7,False
110,CO. by Colgate,William Colgate,False,False,1806,,7,False
111,Coco & Eve,Emily Hamilton,True,False,2015,"Bath & Body ,Hair ,Skin Care",14,False
112,cocokind,Priscilla Tsai,True,True,2015,"Skin Care ,Bath & Body",14,True
113,Color Oops,Ann and Dave Agrey,True,False,1991,,1,False
114,Color Wow,Gail Federici,False,False,2013,"Hair Color ,Styling Products",2,False
115,ColourPop,aura and John Nelson,True,False,2014,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",110,False
116,Completely Bare,Cindy Barshop,True,False,1998,"Bath & Body ,Skin Care",9,False
117,Conair,Leandro Rizzuto,False,False,1959,"Tools & Brushes ,Hair ,Bath & Body ,Makeup ,Skin Care ,Gifts ,Men",113,False
118,COOLA,Chris Birchy,False,False,2007,"Skin Care ,Bath & Body ,Makeup ,Hair",33,False
119,COSRX,Jun Sang Hun,False,True,2013,"Skin Care ,Gifts",26,False
120,CoTz,Harry Fallick,False,False,2002,-,5,False
121,COVER FX,Lee Graff,True,False,2000,"Makeup ,Skin Care ,Gifts",18,False
122,CoverGirl,Francis J. Townsend,False,False,1961,"Makeup, Skin Care, Gifts",81,False
123,Crepe Erase, Bill Guthy and Greg Renker,False,False,2014,"Skin Care ,Bath & Body ,Gifts",9,False
124,Crest,Nick and Cherry Harroz,True,False,1955,Gifts,10,False
125,Cricket,Wayne Clark,False,False,1982,"Tools & Brushes ,Hair",10,False
126,Croc,T.J. Park,False,False,2005,"Tools & Brushes ,Hair",6,False
127,CURLS,Mahisha Dellinger ,True,True,2002,"Styling Products ,Shampoo & Conditioner ,Treatment",13,False
128,Curlsmith,Michal Berski,False,False,2018,"Hair, Gifts",63,False
129,Curél,Tomiro Nagase,False,True,1984,"Skin Care ,Makeup ,Gifts",6,False
130,Céla,Celine Tadrissi,True,False,2016,"Bath & Body ,Gifts ,Fragrance",12,False
131,Daily Concepts,Emilio Smeke,False,False,2011,"Bath & Body ,Skin Care ,Tools & Brushes ,Gifts ,Makeup",16,False
132,Dashing Diva,John Chang,False,True,2003,"Nail Polish Stickers ,Nail Care",88,False
133,DefineMe Fragrance,Jennifer McKay Newton,True,False,2015,"Body Mist & Hair Mist ,Perfume ,Rollerballs & Purse Sprays",12,False
134,Derma E,Linda Miles and David Stearn,True,False,1984,"Skin Care ,Hair ,Bath & Body ,Makeup ,Men",57,True
135,Dermablend,Craig Roberts,False,False,1981,"Face ,Body Makeup ,Travel Size",14,False
136,DERMAFLASH,Dara Levy,True,False,2015,"Tools & Brushes ,Skin Care ,Bath & Body",7,False
137,Design Essentials,Cornell McBride,False,True,1990,"Styling Products ,Shampoo & Conditioner ,Treatment",18,False
138,DevaCurl,Lorraine Massey,True,False,1994,"Hair ,Gifts ,Tools & Brushes ,Bath & Body",60,False
139,DHC,Yoshiaki Yoshida,False,True,1972,"Skin Care ,Makeup ,Tools & Brushes",15,False
140,Diane,James Simon,False,False,1907,"Tools & Brushes ,Hair",17,False
141,Differin,Stuart Raetzman,False,False,2016,"Skin Care ,Bath & Body",11,False
142,Dionis,Kate Crosby,True,False,1982,"Bath & Body ,Gifts ,Skin Care ,Men ,Makeup",45,False
143,DKNY,Donna Karan,True,False,1984,"Fragrance ,Gifts",3,False
144,Dolce&Gabbana,Domenico Dolce and Stefano Gabbana,False,False,1990,"Fragrance, Men, Gifts",30,False
145,Donna Karan,Donna Karan,True,False,1984,"Fragrance ,Gifts ,Bath & Body",6,False
146,Dotted Zebra,Michael Postle,False,False,2018,-,6,False
147,dpHUE,Donna Pohlad and Justin Anderson,True,False,2010,"Hair ,Gifts",26,False
148,Dr Roebuck's,Zoe Roebuck,True,False,2016,"Treatment & Serums ,Cleansers",3,False
149,Dr. Brandt,Fredric Brandt,False,False,2000,"Skin Care ,Makeup",8,False
150,Dr. PAWPAW,Johnny Paterson,False,False,2013,"Skin Care ,Makeup ,Bath & Body",5,False
151,Drunk Elephant,Tiffany Masterson,True,False,2013,"Skin Care ,Bath & Body ,Hair ,Gifts ,Makeup",45,True
152,Drybar,Alli Webb,True,False,2010,"Hair, Tools & Brushes, Gifts, Bath & Body",81,True
153,Duke Cannon Supply Co,Anthony Albanese,False,False,2011,"Men ,Fragrance ,Bath & Body ,Gifts ,Skin Care ,Hair",58,False
154,Dyson,James Dyson,False,False,1991,"Tools & Brushes ,Hair ,Gifts",11,False
155,e.l.f. Cosmetics,Scott-Vincent Borba and Joseph Shamah,False,False,2004,"Makeup, Tools & Brushes, Skin Care, Gifts, Bath & Body",183,False
156,Earth Therapeutics,Henry Kang,False,False,2002,"Bath & Body ,Skin Care ,Nails ,Gifts ,Makeup",71,False
157,Eau de Juice,"Ilias Ermenidis, Clément Gavarry, and Honorine Blanc",True,False,2019,,4,False
158,EcoTools,Stacey Bingaman and Jenny Ball,True,False,2007,"Tools & Brushes ,Makeup ,Gifts ,Bath & Body ,Skin Care ,Hair",46,True
159,Eczema Honey,Minesh Patel,False,True,2010,"Bath & Body ,Skin Care",9,False
160,Elaluz by Camila Coelho,Camila Coelho,True,True,2020,"Makeup ,Skin Care ,Bath & Body",8,False
161,Elcie Cosmetics,Lilit Caradanian,True,False,2016,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",22,False
162,ELEMIS,"Noella Gabriel, Oriele Frank, and Sean C. Harrington",True,False,1988,"Skin Care ,Bath & Body ,Men ,Makeup ,Gifts ,Tools & Brushes",55,False
163,Elizabeth Arden,Elizabeth Arden,True,False,1910,"Skin Care ,Fragrance ,Gifts ,Bath & Body",30,False
164,Elizabeth Taylor,Elizabeth Taylor,True,False,1991,,1,False
165,ella+mila,Narineh Bedrossian,True,False,2014,"Nails ,Gifts",21,False
166,Ellis Brooklyn,Bee Shapiro,True,True,2014,"Fragrance ,Gifts ,Bath & Body",22,True
167,Eos,Dan Larimer,False,False,2006,"Skin Care ,Bath & Body",7,False
168,Erborian,Katalin Berenyi and Hojung Lee,True,True,2007,"Skin Care ,Makeup ,Bath & Body",34,False
169,Ere Perez,Ere and Juan Perez,True,True,2004,"Face ,Lips ,Eyes",9,False
170,Essence,Christina Oster-Daum,True,True,2005,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",119,False
171,Essie, Essie Weingarten,True,False,1981,"Nails ,Gifts",36,False
172,Estée Lauder,Estée Lauder and Joseph Lauder,True,False,1946,"Skin Care, Makeup, Gifts, Fragrance",92,False
173,Eva Nyc,"Shay, Nir Kadosh, and Vita Raykhman",True,True,2012,"Hair ,Tools & Brushes ,Gifts",35,False
174,Everpro,Steve Borrebach,False,False,2013,,1,False
175,Every Man Jack,Ritch Viola,False,False,2007,"Men ,Bath & Body ,Skin Care ,Gifts ,Hair",19,False
176,Everyday Humans,Charlotte C Pienaar,True,True,2018,"Skin Care ,Bath & Body",4,True
177,Exa,Greg Papadopoulos,False,False,1991,"Eyes ,Face",4,True
178,Exuviance,Dr Eugene Van Scott and Dr Ruey Yu,False,True,2014,"Skin Care, Gifts, Makeup",44,False
179,Eyeko,Nina Leykind,True,False,1999,"Makeup ,Gifts ,Skin Care",21,False
180,Eylure,David and Eric Aylott,False,False,1947,"Eyelashes ,Eyeliner",54,False
181,FACE HALO,Lizzy Pike,True,False,2017,"Skin Care ,Makeup ,Tools & Brushes ,Hair ,Gifts ,Bath & Body",6,False
182,Fairy Tales,Risa Barash,True,False,1999,"Hair ,Gifts ,Tools & Brushes",19,True
183,Fake Bake,Sandra McClumpha,True,False,2001,,2,False
184,FEKKAI,Frédéric Fekka,False,False,1996,"Hair ,Gifts ,Bath & Body",42,False
185,FENTY BEAUTY by Rihanna,Robyn Rihanna Fenty,True,True,2017,"Makeup, Tools & Brushes, Gifts",54,False
186,Fifth & Root ,Vanessa Florentino,True,False,1993,"Skin Care ,Bath & Body",6,False
